attendance,parental_involvement,access_to_resources,extracurricular_activities,sleep_hours,internet_access,tutoring_sessions,family_income,teacher_quality,peer_influence,physical_activity,learning_disabilities,parental_education_level,distance_from_home,gender,exam_score,hours_studied_scaled,previous_scores_scaled,school_type_public,motivation_level_encoded
84,Low,High,No,7,Yes,0,Low,Medium,Positive,3,No,High School,Near,Male,67,0.5051333822819205,-0.14361741865544755,1,0
64,Low,Medium,No,8,Yes,2,Medium,Medium,Negative,4,No,College,Moderate,Female,61,-0.1626495121255974,-1.1159683225302914,1,0
98,Medium,Medium,Yes,7,Yes,2,Medium,Medium,Neutral,4,No,Postgraduate,Near,Male,74,0.6720791058837999,1.1065480291836374,1,1
89,Low,Medium,Yes,8,Yes,1,Medium,Medium,Negative,4,No,High School,Moderate,Male,71,1.5068077238931974,1.5927234811210593,1,1
92,Medium,Medium,Yes,6,Yes,3,Medium,High,Neutral,4,No,College,Near,Female,70,-0.1626495121255974,-0.6992465065839297,1,1
88,Medium,Medium,Yes,8,Yes,3,Medium,Medium,Positive,3,No,Postgraduate,Near,Male,71,-0.1626495121255974,0.9676407572015168,1,1
84,Medium,Low,Yes,7,Yes,1,Low,Medium,Neutral,2,No,High School,Moderate,Male,67,1.5068077238931974,-0.49088559861074893,0,0
78,Low,High,Yes,6,Yes,1,High,High,Negative,2,No,High School,Far,Male,66,0.8390248294856795,-1.7410510464498339,1,1
94,Medium,High,No,6,Yes,0,Medium,Low,Neutral,1,No,College,Near,Male,69,-0.4965409593293564,0.3425580332819744,0,2
98,Medium,Medium,Yes,8,Yes,0,High,High,Positive,5,No,High School,Moderate,Male,72,0.5051333822819205,-0.2825246906375681,1,1
80,Low,High,No,8,No,4,Medium,High,Neutral,4,No,College,Moderate,Male,68,-0.4965409593293564,0.8981871212104565,0,1
97,Medium,High,Yes,6,Yes,2,Low,High,Neutral,2,No,High School,Near,Male,71,-0.4965409593293564,0.8287334852193963,0,0
83,Medium,Medium,Yes,8,Yes,2,Medium,Medium,Positive,4,No,High School,Near,Male,70,0.17124193507816154,1.523269845129999,1,0
82,Medium,Medium,Yes,8,Yes,2,Medium,Medium,Positive,3,No,Postgraduate,Near,Male,66,-1.8321067481443922,-0.21307105464650783,0,1
78,Medium,High,Yes,8,Yes,1,Low,Medium,Neutral,4,No,Postgraduate,Near,Male,65,-1.6651610245425126,-0.07416378266438728,0,1
68,Medium,Medium,No,8,Yes,2,Medium,Medium,Positive,4,No,High School,Near,Female,64,-0.4965409593293564,-0.3519783266286284,0,1
60,Medium,Low,Yes,10,Yes,0,High,Medium,Positive,3,No,College,Near,Male,60,-0.9973781301349948,-0.6992465065839297,0,0
70,Low,Medium,Yes,6,Yes,1,Low,High,Neutral,3,No,High School,Near,Female,65,0.338187658680041,0.4814653052640949,1,1
80,Medium,Medium,Yes,9,Yes,3,Low,Medium,Positive,2,No,College,Moderate,Female,67,-0.8304324065331153,1.1065480291836374,1,0
75,Medium,High,Yes,7,Yes,3,Medium,Medium,Positive,4,No,College,Near,Male,66,-1.3312695773387537,-1.1854219585213517,0,1
78,Medium,Medium,No,5,Yes,0,High,Medium,Negative,1,No,High School,Moderate,Female,69,1.5068077238931974,1.6621771171121196,1,2
99,Medium,High,No,6,Yes,1,Medium,High,Neutral,3,No,High School,Near,Male,72,-0.1626495121255974,0.6203725772462154,1,1
74,Medium,High,No,8,Yes,1,Medium,Medium,Negative,2,No,College,Moderate,Female,66,0.004296211476282077,0.9676407572015168,1,0
78,High,Medium,Yes,8,Yes,1,Low,Medium,Neutral,3,No,High School,Moderate,Male,66,-1.4982153009406332,1.7316307531031798,1,2
65,Low,High,Yes,5,Yes,2,Low,Medium,Positive,3,No,High School,Near,Female,63,-0.4965409593293564,-0.004710146673327003,1,1
62,High,Low,Yes,6,Yes,0,High,High,Positive,3,No,Postgraduate,Far,Male,64,0.17124193507816154,-1.4632365024855927,1,2
91,Low,Medium,No,6,Yes,1,High,Medium,Negative,2,Yes,High School,Moderate,Female,65,-1.1643238537368743,1.0370943931925771,1,1
83,High,High,Yes,6,Yes,0,High,Medium,Neutral,2,No,College,Moderate,Male,71,0.338187658680041,1.3149089371568181,1,1
90,Medium,Medium,No,4,Yes,1,Low,Medium,Neutral,3,No,High School,Moderate,Female,66,-0.6634866829312358,-1.1854219585213517,1,1
66,High,High,No,4,Yes,2,Low,Medium,Neutral,2,No,College,Near,Male,64,-0.3295952357274769,-1.6715974104587736,0,0
83,Low,Medium,No,6,Yes,0,High,Low,Positive,4,Yes,High School,Near,Female,63,-0.6634866829312358,-1.254875594512412,1,1
70,Medium,High,Yes,7,Yes,1,High,Medium,Negative,3,No,College,Near,Male,69,1.8406991710969562,-0.6297928705928695,1,1
69,Medium,Medium,Yes,8,Yes,2,Medium,High,Positive,3,No,High School,Near,Male,67,0.004296211476282077,1.4538162091389386,1,1
60,High,Medium,No,5,Yes,2,Medium,Medium,Neutral,3,No,College,Near,Female,61,-0.9973781301349948,-1.7410510464498339,1,1
65,High,Medium,No,5,Yes,2,Medium,Medium,Positive,3,No,College,Moderate,Female,68,0.8390248294856795,1.0370943931925771,1,1
72,Low,Medium,No,6,Yes,1,Low,Medium,Negative,3,No,High School,Near,Male,61,-1.1643238537368743,1.2454553011657579,1,0
65,Medium,Low,Yes,7,Yes,2,Medium,High,Positive,3,No,High School,Far,Female,64,0.17124193507816154,1.1065480291836374,1,0
99,Medium,Medium,No,9,Yes,2,Low,Medium,Neutral,5,No,Postgraduate,Near,Female,67,-1.9990524717462717,-1.4632365024855927,1,0
72,Low,Medium,Yes,8,Yes,1,Low,Medium,Positive,5,No,High School,Near,Female,63,-1.3312695773387537,0.6203725772462154,1,1
65,Low,Medium,Yes,6,Yes,1,Medium,High,Negative,4,No,High School,Near,Male,64,0.17124193507816154,1.5927234811210593,1,0
68,High,Medium,No,8,Yes,3,High,High,Neutral,1,No,College,Near,Male,67,0.6720791058837999,-1.3243292305034722,1,0
84,Medium,Medium,Yes,6,Yes,1,Medium,High,Neutral,2,Yes,College,Far,Female,65,0.17124193507816154,-1.6021437744677132,1,0
63,Low,High,No,7,Yes,1,Medium,Medium,Positive,3,No,High School,Moderate,Male,64,-0.1626495121255974,1.3149089371568181,0,1
94,Medium,High,Yes,7,Yes,3,Medium,Medium,Negative,2,Yes,College,Near,Male,70,-0.3295952357274769,0.4814653052640949,0,1
